label	original_label	superfamily
Academ-3_HM	Academ-3_HM  	Academ
Academ-2_BF	Academ-2_BF   	Academ
Academ-4_SP	Academ-4_SP 	Academ
Academ-2_HM	Academ-2_HM  	Academ
Academ-1_AP	Academ-1_AP    	Academ
Academ-1_CapTel	Academ-1_CapTel  	Academ
Academ-1_CSa	Academ-1_CSa 	Academ
Academ-1_Dpulex	Academ-1_Dpulex   	Academ
Academ-1_Lgigantea	Academ-1_Lgigantea   	Academ
Academ-3_CS	Academ-3_CS 	Academ
Academ-1_Aplcal	Academ-1_Aplcal 	Academ
Academ-1_NV	Academ-1_NV 	Academ
Academ-4_BF	Academ-4_BF 	Academ
Academ-1_BF	Academ-1_BF  	Academ
Academ-2_CS	Academ-2_CS  	Academ
Academ-1_SP	Academ-1_SP  	Academ
CACTA-1_PB	CACTA-1_PB 	CMC
SmTRC1	SmTRC1 	CMC
ENSPM-6_DR	ENSPM-6_DR  	CMC
EnSpm-7_HM	EnSpm-7_HM 	CMC
EnSpm-2_NVi	EnSpm-2_NVi  	CMC
EnSpm-3_DR	EnSpm-3_DR 	CMC
EnSpm-16_HM	EnSpm-16_HM 	CMC
CACTA-3_AA	CACTA-3_AA  	CMC
CACTA-2_AA	CACTA-2_AA  	CMC
EnSpm-5_DR	EnSpm-5_DR    	CMC
CACTA-1_Dpulex	CACTA-1_Dpulex  	CMC
CACTA-1_Ccinerea	CACTA-1_Ccinerea 	CMC
EnSpm-1_BF	EnSpm-1_BF  	CMC
CACTA-1_Roryzae	CACTA-1_Roryzae	CMC
CACTA-1_Mlaricis	CACTA-1_Mlaricis  	CMC
CACTA-2_Mlaricis	CACTA-2_Mlaricis  	CMC
ATENSPM10	ATENSPM10   	CMC
MIRAGE1_CB	MIRAGE1_CB 	CMC
MIRAGE1	MIRAGE1  	CMC
Chapaev-1_CE	Chapaev-1_CE  	CMC
Chapaev3-5_PM	Chapaev3-5_PM  	CMC
Chapaev-1_AA	Chapaev-1_AA 	CMC
Chapaev-1_ACa	Chapaev-1_ACa 	CMC
Chapaev-2_BF	Chapaev-2_BF  	CMC
Chapaev-6_HM	Chapaev-6_HM  	CMC
Chapaev-9_HM	Chapaev-9_HM  	CMC
Chapaev-1_HM	Chapaev-1_HM  	CMC
Ginger1-12_HM	Ginger1-12_HM	Ginger
Ginger1-1_AC	Ginger1-1_AC 	Ginger
Ginger1-1_AP	Ginger1-1_AP  	Ginger
Ginger1-1_HM	Ginger1-1_HM 	Ginger
Ginger1-8_HM	Ginger1-8_HM 	Ginger
Ginger1-1_BF	Ginger1-1_BF 	Ginger
TDD-4	TDD-4	Ginger
Ginger2-1_NV	Ginger2-1_NV 	Ginger
Ginger2-2_NV	Ginger2-2_NV 	Ginger
Ginger2-1_MG	Ginger2-1_MG	Ginger
Ginger2-1_HM	Ginger2-1_HM  	Ginger
Ginger2-1_LS	Ginger2-1_LS 	Ginger
Ginger2-1_BF	Ginger2-1_BF	Ginger
Ginger2-1_TS	Ginger2-1_TS 	Ginger
