sequence_id	superfamily	classification	length	original_header
Academ-1_Testu_tp	Academ	DNA/Academ-1	1591	Academ-1_Testu_tp#DNA/Academ-1  Dfam:DF0004380 cds_range:651-5424 [Testudines]
Academ-2_Testu_tp	Academ	DNA/Academ-1	1654	Academ-2_Testu_tp#DNA/Academ-1  Dfam:DF0004381 cds_range:917-5879 [Testudines]
UN-AcademH-2_PGr_p1	Academ	DNA/Academ-H	913	UN-AcademH-2_PGr_p1#DNA/Academ-H   via genewise with 4 introns (861:924, 1399:1481, 2522:2583, 3107:3169) [Puccinia graminis]
UN-AcademH-3_PGr_p1	Academ	DNA/Academ-H	906	UN-AcademH-3_PGr_p1#DNA/Academ-H   via genewise with 3 introns (793:867, 2357:2423, 2953:3022) [Puccinia graminis]
UN-AcademH-6_PGr_p1	Academ	DNA/Academ-H	919	UN-AcademH-6_PGr_p1#DNA/Academ-H   via genewise with 3 introns (1632:1699, 3175:3239, 3769:3839) [Puccinia graminis]
Academ-1_AMi_tp	Academ	DNA/Academ-1	1571	Academ-1_AMi_tp#DNA/Academ-1 RBRM:Academ-1_AMi frameshifts:1 stops:1 cds_range:463-5175 via tfasty with Academ-1_NV_tp [Crocodylia]
Academ-1_AP_tp	Academ	DNA/Academ-1	1471	Academ-1_AP_tp#DNA/Academ-1 RBRM:Academ-1_AP stops:1 cds_range:1919-6332 via tfasty with Academ-1_NV_tp [Acyrthosiphon pisum]
Academ-1_CGi_tp	Academ	DNA/Academ-1	1352	Academ-1_CGi_tp#DNA/Academ-1 RBRM:Academ-1_CGi cds_range:1100-5156 [Crassostrea gigas]
Academ-1_CSa_tp	Academ	DNA/Academ-1	1534	Academ-1_CSa_tp#DNA/Academ-1 RBRM:Academ-1_CSa cds_range:1271-6114 exons:1271-4968;5058-5406;5467-5675;5765-6114 via genewise with Academ-1_AP_tp#DNA/Academ [Ciona savignyi]
Academ-1_CTe_tp	Academ	DNA/Academ-1	1035	Academ-1_CTe_tp#DNA/Academ-1 RBRM:Academ-1_CTe frameshifts:4 stops:5 cds_range:821-3924 via tfasty with Academ-1_AP [Capitella teleta]
Academ-1_DPu_tp	Academ	DNA/Academ-1	1367	Academ-1_DPu_tp#DNA/Academ-1 RBRM:Academ-1_DPu frameshifts:2 stops:1 cds_range:532-5460 exons:532-877;940-1524;1581-1931;1978-2535;3084-3570;3626-5185;5243-5460 via genewise with Academ-1_AP_tp#DNA/Academ, Probably misses first exon. [Daphnia pulex]
Academ-1_GA_tp	Academ	DNA/Academ-1	1232	Academ-1_GA_tp#DNA/Academ-1 RBRM:Academ-1_GA frameshifts:5 stops:7 cds_range:538-4231 via tfasty with Academ-1_SP_tp [Gasterosteus aculeatus]
Academ-1_HM_tp	Academ	DNA/Academ-1	1459	Academ-1_HM_tp#DNA/Academ-1 RBRM:Academ-1_HM frameshifts:3 cds_range:948-6333 exons:948-2683;2876-3119;3358-3644;3830-4071;4217-5461;5706-6333 via genewise with Academ-1_SP_tp#DNA/Academ [Hydra vulgaris]
Academ-1_NV_tp	Academ	DNA/Academ-1	1581	Academ-1_NV_tp#DNA/Academ-1 RBRM:Academ-1_NV stops:1 cds_range:898-5641 via tfasty with Academ-1_SP_tp [Nematostella vectensis]
Academ-1_SP_tp	Academ	DNA/Academ-1	1522	Academ-1_SP_tp#DNA/Academ-1 RBRM:Academ-1_SP cds_range:2061-6627 [Strongylocentrotus purpuratus]
Academ-2_CCri_2p	Academ	DNA/Academ-1	384	Academ-2_CCri_2p#DNA/Academ-1 RBRM:Academ-2_CCri rev:1 cds_range:7668-6516 [Chondrus crispus]
Academ-2_SK_tp	Academ	DNA/Academ-1	1312	Academ-2_SK_tp#DNA/Academ-1 RBRM:Academ-2_SK cds_range:1379-5811 exons:1379-1639;1911-3663;3771-4110;4226-5811 via genewise with Academ-1_AP_tp [Saccoglossus kowalevskii]
Academ-3_CCri_2p	Academ	DNA/Academ-1	370	Academ-3_CCri_2p#DNA/Academ-1 RBRM:Academ-3_CCri rev:1 cds_range:7546-6436 [Chondrus crispus]
Academ-4_CCri_2p	Academ	DNA/Academ-1	337	Academ-4_CCri_2p#DNA/Academ-1 RBRM:Academ-4_CCri rev:1 cds_range:7643-6632 [Chondrus crispus]
Academ-4_SK_tp	Academ	DNA/Academ-1	1377	Academ-4_SK_tp#DNA/Academ-1 RBRM:Academ-4_SK cds_range:2315-6446 [Saccoglossus kowalevskii]
Academ-5_CCri_2p	Academ	DNA/Academ-1	341	Academ-5_CCri_2p#DNA/Academ-1 RBRM:Academ-5_CCri rev:1 cds_range:7663-6640 [Chondrus crispus]
Academ-5_SK_tp	Academ	DNA/Academ-1	1529	Academ-5_SK_tp#DNA/Academ-1 RBRM:Academ-5_SK stops:4 cds_range:524-5111 via tfasty with Academ-1_CSa_tp [Saccoglossus kowalevskii]
Academ-6_CCri_2p	Academ	DNA/Academ-1	346	Academ-6_CCri_2p#DNA/Academ-1 RBRM:Academ-6_CCri rev:1 cds_range:7753-6715 [Chondrus crispus]
Academ-7_CCri_2p	Academ	DNA/Academ-1	324	Academ-7_CCri_2p#DNA/Academ-1 RBRM:Academ-7_CCri rev:1 cds_range:8135-7163 [Chondrus crispus]
Academ-7_SK_tp	Academ	DNA/Academ-1	1360	Academ-7_SK_tp#DNA/Academ-1 RBRM:Academ-7_SK cds_range:2497-6577 [Saccoglossus kowalevskii]
Academ-9_CCri_2p	Academ	DNA/Academ-1	270	Academ-9_CCri_2p#DNA/Academ-1 RBRM:Academ-9_CCri rev:1 cds_range:7675-6865 [Chondrus crispus]
Academ-11_CCri_2p	Academ	DNA/Academ-1	342	Academ-11_CCri_2p#DNA/Academ-1 RBRM:Academ-11_CCri rev:1 cds_range:7658-6632 [Chondrus crispus]
Academ-1_PGr_p1	Academ	DNA/Academ-H	886	Academ-1_PGr_p1#DNA/Academ-H RBRM:Academ-1_PGr frameshifts:2 cds_range:412-3428 exons:412-459;603-831;899-2371;2448-2977;3043-3428 via genewise with AcademH-3_PGr_p1 [Puccinia graminis]
