"","ins1","ins2","k80","chr1","start1","end1","chr2","start2","end2","mid1","mid2","same_chr","genomic_dist_mid","genomic_dist_edge","in_gap","rank"
"1","A6-Wild5B_31","A6-Wild5B_22",0,"2L",15077860,15077860,"2L",262632,262632,15077860,262632,TRUE,14815228,14815228,FALSE,1
"2","A6-Wild5B_34","A6-Wild5B_22",0,"2L",17945784,17945784,"2L",262632,262632,17945784,262632,TRUE,17683152,17683152,FALSE,2
"3","A6-Wild5B_50","A6-Wild5B_22",0,"2L",12245969,12245969,"2L",262632,262632,12245969,262632,TRUE,11983337,11983337,FALSE,3
"4","A6-Wild5B_51","A6-Wild5B_22",0,"2L",14671836,14671836,"2L",262632,262632,14671836,262632,TRUE,14409204,14409204,FALSE,4
"5","A6-Wild5B_54","A6-Wild5B_22",0,"2L",17088368,17088368,"2L",262632,262632,17088368,262632,TRUE,16825736,16825736,FALSE,5
"6","A6-Wild5B_40","A6-Wild5B_23",0,"2L",21078116,21078116,"2L",2003771,2003771,21078116,2003771,TRUE,19074345,19074345,FALSE,6
"7","A6-Wild5B_46","A6-Wild5B_23",0,"2L",7934109,7934109,"2L",2003771,2003771,7934109,2003771,TRUE,5930338,5930338,FALSE,7
"8","A6-Wild5B_55","A6-Wild5B_23",0,"2L",18286654,18286654,"2L",2003771,2003771,18286654,2003771,TRUE,16282883,16282883,FALSE,8
"9","A6-Wild5B_26","A6-Wild5B_24",0,"2L",10933389,10933389,"2L",6587078,6587081,10933389,6587079.5,TRUE,4346309.5,4346308,FALSE,9
"10","A6-Wild5B_27","A6-Wild5B_24",0,"2L",11155310,11155311,"2L",6587078,6587081,11155310.5,6587079.5,TRUE,4568231,4568229,FALSE,10
"11","A6-Wild5B_29","A6-Wild5B_24",0,"2L",12325056,12325056,"2L",6587078,6587081,12325056,6587079.5,TRUE,5737976.5,5737975,FALSE,11
"12","A6-Wild5B_32","A6-Wild5B_24",0,"2L",15142559,15142559,"2L",6587078,6587081,15142559,6587079.5,TRUE,8555479.5,8555478,FALSE,12
"13","A6-Wild5B_37","A6-Wild5B_24",0,"2L",19890229,19890229,"2L",6587078,6587081,19890229,6587079.5,TRUE,13303149.5,13303148,FALSE,13
"14","A6-Wild5B_48","A6-Wild5B_24",0,"2L",9564503,9564503,"2L",6587078,6587081,9564503,6587079.5,TRUE,2977423.5,2977422,FALSE,14
"15","A6-Wild5B_52","A6-Wild5B_24",0,"2L",14887432,14887432,"2L",6587078,6587081,14887432,6587079.5,TRUE,8300352.5,8300351,FALSE,15
"16","A6-Wild5B_53","A6-Wild5B_24",0,"2L",15931742,15931742,"2L",6587078,6587081,15931742,6587079.5,TRUE,9344662.5,9344661,FALSE,16
"17","A6-Wild5B_39","A6-Wild5B_25",0,"2L",20952528,20952528,"2L",10567015,10567015,20952528,10567015,TRUE,10385513,10385513,FALSE,17
"18","A6-Wild5B_47","A6-Wild5B_25",0,"2L",7966456,7966456,"2L",10567015,10567015,7966456,10567015,TRUE,2600559,2600559,FALSE,18
"19","A6-Wild5B_27","A6-Wild5B_26",0,"2L",11155310,11155311,"2L",10933389,10933389,11155310.5,10933389,TRUE,221921.5,221921,FALSE,19
"20","A6-Wild5B_29","A6-Wild5B_26",0,"2L",12325056,12325056,"2L",10933389,10933389,12325056,10933389,TRUE,1391667,1391667,FALSE,20
"21","A6-Wild5B_32","A6-Wild5B_26",0,"2L",15142559,15142559,"2L",10933389,10933389,15142559,10933389,TRUE,4209170,4209170,FALSE,21
"22","A6-Wild5B_37","A6-Wild5B_26",0,"2L",19890229,19890229,"2L",10933389,10933389,19890229,10933389,TRUE,8956840,8956840,FALSE,22
"23","A6-Wild5B_48","A6-Wild5B_26",0,"2L",9564503,9564503,"2L",10933389,10933389,9564503,10933389,TRUE,1368886,1368886,FALSE,23
"24","A6-Wild5B_52","A6-Wild5B_26",0,"2L",14887432,14887432,"2L",10933389,10933389,14887432,10933389,TRUE,3954043,3954043,FALSE,24
"25","A6-Wild5B_53","A6-Wild5B_26",0,"2L",15931742,15931742,"2L",10933389,10933389,15931742,10933389,TRUE,4998353,4998353,FALSE,25
"26","A6-Wild5B_29","A6-Wild5B_27",0,"2L",12325056,12325056,"2L",11155310,11155311,12325056,11155310.5,TRUE,1169745.5,1169745,FALSE,26
"27","A6-Wild5B_32","A6-Wild5B_27",0,"2L",15142559,15142559,"2L",11155310,11155311,15142559,11155310.5,TRUE,3987248.5,3987248,FALSE,27
"28","A6-Wild5B_37","A6-Wild5B_27",0,"2L",19890229,19890229,"2L",11155310,11155311,19890229,11155310.5,TRUE,8734918.5,8734918,FALSE,28
"29","A6-Wild5B_48","A6-Wild5B_27",0,"2L",9564503,9564503,"2L",11155310,11155311,9564503,11155310.5,TRUE,1590807.5,1590807,FALSE,29
"30","A6-Wild5B_52","A6-Wild5B_27",0,"2L",14887432,14887432,"2L",11155310,11155311,14887432,11155310.5,TRUE,3732121.5,3732121,FALSE,30
"31","A6-Wild5B_53","A6-Wild5B_27",0,"2L",15931742,15931742,"2L",11155310,11155311,15931742,11155310.5,TRUE,4776431.5,4776431,FALSE,31
"32","A6-Wild5B_32","A6-Wild5B_29",0,"2L",15142559,15142559,"2L",12325056,12325056,15142559,12325056,TRUE,2817503,2817503,FALSE,32
"33","A6-Wild5B_37","A6-Wild5B_29",0,"2L",19890229,19890229,"2L",12325056,12325056,19890229,12325056,TRUE,7565173,7565173,FALSE,33
"34","A6-Wild5B_48","A6-Wild5B_29",0,"2L",9564503,9564503,"2L",12325056,12325056,9564503,12325056,TRUE,2760553,2760553,FALSE,34
"35","A6-Wild5B_52","A6-Wild5B_29",0,"2L",14887432,14887432,"2L",12325056,12325056,14887432,12325056,TRUE,2562376,2562376,FALSE,35
"36","A6-Wild5B_53","A6-Wild5B_29",0,"2L",15931742,15931742,"2L",12325056,12325056,15931742,12325056,TRUE,3606686,3606686,FALSE,36
"37","A6-Wild5B_34","A6-Wild5B_31",0,"2L",17945784,17945784,"2L",15077860,15077860,17945784,15077860,TRUE,2867924,2867924,FALSE,37
"38","A6-Wild5B_50","A6-Wild5B_31",0,"2L",12245969,12245969,"2L",15077860,15077860,12245969,15077860,TRUE,2831891,2831891,FALSE,38
"39","A6-Wild5B_51","A6-Wild5B_31",0,"2L",14671836,14671836,"2L",15077860,15077860,14671836,15077860,TRUE,406024,406024,FALSE,39
"40","A6-Wild5B_54","A6-Wild5B_31",0,"2L",17088368,17088368,"2L",15077860,15077860,17088368,15077860,TRUE,2010508,2010508,FALSE,40
"41","A6-Wild5B_37","A6-Wild5B_32",0,"2L",19890229,19890229,"2L",15142559,15142559,19890229,15142559,TRUE,4747670,4747670,FALSE,41
"42","A6-Wild5B_48","A6-Wild5B_32",0,"2L",9564503,9564503,"2L",15142559,15142559,9564503,15142559,TRUE,5578056,5578056,FALSE,42
"43","A6-Wild5B_52","A6-Wild5B_32",0,"2L",14887432,14887432,"2L",15142559,15142559,14887432,15142559,TRUE,255127,255127,FALSE,43
"44","A6-Wild5B_53","A6-Wild5B_32",0,"2L",15931742,15931742,"2L",15142559,15142559,15931742,15142559,TRUE,789183,789183,FALSE,44
"45","A6-Wild5B_50","A6-Wild5B_34",0,"2L",12245969,12245969,"2L",17945784,17945784,12245969,17945784,TRUE,5699815,5699815,FALSE,45
"46","A6-Wild5B_51","A6-Wild5B_34",0,"2L",14671836,14671836,"2L",17945784,17945784,14671836,17945784,TRUE,3273948,3273948,FALSE,46
"47","A6-Wild5B_54","A6-Wild5B_34",0,"2L",17088368,17088368,"2L",17945784,17945784,17088368,17945784,TRUE,857416,857416,FALSE,47
"48","A6-Wild5B_43","A6-Wild5B_35",0,"2L",3773642,3773642,"2L",18025740,18025740,3773642,18025740,TRUE,14252098,14252098,FALSE,48
"49","A6-Wild5B_48","A6-Wild5B_37",0,"2L",9564503,9564503,"2L",19890229,19890229,9564503,19890229,TRUE,10325726,10325726,FALSE,49
