tip_label	sequence_id	group	repeat_class	source	length	original_header
RP__Chapaev__Chapaev-1_CE	Chapaev-1_CE	Chapaev	DNA/CMC-Chapaev	RepeatPeps	798	Chapaev-1_CE#DNA/CMC-Chapaev  Dfam:DF0001399 frameshifts:1 cds_range:1076-3814 exons:1076-1366;1711-3814 via genewise with Chapaev-2_CE [Caenorhabditis elegans]
RP__Chapaev__Chapaev-2_CE	Chapaev-2_CE	Chapaev	DNA/CMC-Chapaev	RepeatPeps	824	Chapaev-2_CE#DNA/CMC-Chapaev  Dfam:DF0001514 cds_range:1555-4027 [Caenorhabditis elegans]
RP__EnSpm__EnSpm1_DR_tp	EnSpm1_DR_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1180	EnSpm1_DR_tp#DNA/CMC-EnSpm  Dfam:DF0003681 stops:1 cds_range:1987-5680 exons:1987-4645;4702-5261;5360-5680 via genewise with EnSpm-7_DR_tp [Danio rerio]
RP__EnSpm__EnSpm-2_DR_p1	EnSpm-2_DR_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	815	EnSpm-2_DR_p1#DNA/CMC-EnSpm  Dfam:DF0003911 cds_range:5073-7518 (may have more exons) [Danio rerio]
RP__EnSpm__EnSpm-3_DR_tp	EnSpm-3_DR_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1214	EnSpm-3_DR_tp#DNA/CMC-EnSpm  Dfam:DF0002739 frameshifts:1 cds_range:2114-5851 exons:2114-4753;4846-5851 via genewise with EnSpm-7_DR_1p [Danio rerio]
RP__EnSpm__EnSpm-5_DR_p1	EnSpm-5_DR_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	810	EnSpm-5_DR_p1#DNA/CMC-EnSpm  Dfam:DF0003773 cds_range:4628-7058 (may have more exons) [Danio rerio]
RP__EnSpm__EnSpm-7_DR_tp	EnSpm-7_DR_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1250	EnSpm-7_DR_tp#DNA/CMC-EnSpm  Dfam:DF0003172 frameshifts:1 cds_range:3156-7061 exons:3156-5864;6017-7061 via genewise with EnSpm-9_DR_1p [Danio rerio]
RP__EnSpm__EnSpm-9_DR_tp	EnSpm-9_DR_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1250	EnSpm-9_DR_tp#DNA/CMC-EnSpm  Dfam:DF0002817 cds_range:1939-5924 exons:1939-4583;4818-5924 via genewise with EnSpm-7_DR_tp [Danio rerio]
RP__EnSpm__EnSpm-12_DR_tp	EnSpm-12_DR_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1228	EnSpm-12_DR_tp#DNA/CMC-EnSpm  Dfam:DF0002847 cds_range:1251-4992 exons:1251-3923;3980-4992 via genewise with EnSpm1_DR_tp [Danio rerio]
RP__EnSpm__EnSpm-13_DR_tp	EnSpm-13_DR_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1249	EnSpm-13_DR_tp#DNA/CMC-EnSpm  Dfam:DF0002632 cds_range:398-4454 exons:398-872;1031-3224;3374-4454 via genewise with EnSpm-7_DR_tp [Danio rerio]
RP__EnSpm__EnSpm-14_DR_tp	EnSpm-14_DR_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1227	EnSpm-14_DR_tp#DNA/CMC-EnSpm  Dfam:DF0003053 frameshifts:2 stops:1 cds_range:588-4428 exons:588-3249;3408-4428 via genewise with EnSpm-13_DR_tp, 1 intron [Danio rerio]
RP__Transib__Transib1	Transib1	Transib	DNA/CMC-Transib	RepeatPeps	699	Transib1#DNA/CMC-Transib  Dfam:DF0001719 cds_range:527-2624 [Drosophila fruit fly genus]
RP__Transib__Transib2	Transib2	Transib	DNA/CMC-Transib	RepeatPeps	693	Transib2#DNA/CMC-Transib  Dfam:DF0001720 cds_range:533-2612 [Drosophila fruit fly genus]
RP__Transib__Transib3	Transib3	Transib	DNA/CMC-Transib	RepeatPeps	689	Transib3#DNA/CMC-Transib  Dfam:DF0001721 frameshifts:3 cds_range:542-2610 via tfasty with Transib2 [Drosophila fruit fly genus]
RP__Transib__Transib4	Transib4	Transib	DNA/CMC-Transib	RepeatPeps	565	Transib4#DNA/CMC-Transib  Dfam:DF0001722 frameshifts:4 stops:1 cds_range:526-2219 via tfasty with Transib1 (130 AA internal deletion) [Drosophila fruit fly genus]
RP__Transib__Transib5	Transib5	Transib	DNA/CMC-Transib	RepeatPeps	595	Transib5#DNA/CMC-Transib  Dfam:DF0001723 cds_range:779-2564 [Drosophila melanogaster]
RP__EnSpm__UN-ATEnSpm9	UN-ATEnSpm9	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1544	UN-ATEnSpm9#DNA/CMC-EnSpm   [Arabidopsis]
RP__EnSpm__UN-Candystripe1_SB_p2	UN-Candystripe1_SB_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	699	UN-Candystripe1_SB_p2#DNA/CMC-EnSpm   via tfasty with EnSpm-30_SBi_p2, 1 frameshift. [Sorghum bicolor] Appears to have a 200 AA t deletion around AA 420.
RP__EnSpm__UN-EnSpm3_OS_p2	UN-EnSpm3_OS_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	599	UN-EnSpm3_OS_p2#DNA/CMC-EnSpm   putative transposon protein (perhaps spliced to p1) [Oryza sativa]
RP__EnSpm__UN-EnSpm5_SB_p2	UN-EnSpm5_SB_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	425	UN-EnSpm5_SB_p2#DNA/CMC-EnSpm   via genewise with mRNA, 4 introns (6375:6463, 6620:6759, 6946:7034, 7209:7284) This is actually the translation of gi 242096375, as the consensus contains frameshifts etc. [Sorghum bicolor]
RP__Mirage__UN-Mirage1	UN-Mirage1	Mirage	DNA/CMC-Mirage	RepeatPeps	805	UN-Mirage1#DNA/CMC-Mirage   Predicted CDS, polypeptide chain release factor family member [Caenorhabditis elegans]
RP__Mirage__UN-GIN1_int	UN-GIN1_int	Mirage	DNA/CMC-Mirage	RepeatPeps	392	UN-GIN1_int#DNA/CMC-Mirage   EXAPTED GENE!  unnamed protein product [Homo sapiens]
RP__Mirage__UN-GIN2_int	UN-GIN2_int	Mirage	DNA/CMC-Mirage	RepeatPeps	422	UN-GIN2_int#DNA/CMC-Mirage   EXAPTED GENE!  PREDICTED: similar to MGC80999 protein [Gallus gallus]
RP__Chapaev__Chapaev-1_AA	Chapaev-1_AA	Chapaev	DNA/CMC-Chapaev	RepeatPeps	679	Chapaev-1_AA#DNA/CMC-Chapaev RBRM:Chapaev-1_AA cds_range:623-2726 exons:623-2335;2401-2726 via genewise with Chapaev-2_HM [Aedes aegypti]
