tip_label	sequence_id	group	repeat_class	length	source	original_header
Chapaev__Chapaev-1_CE	Chapaev-1_CE	Chapaev	DNA/CMC-Chapaev	798	RepeatPeps	Chapaev-1_CE#DNA/CMC-Chapaev  Dfam:DF0001399 frameshifts:1 cds_range:1076-3814 exons:1076-1366;1711-3814 via genewise with Chapaev-2_CE [Caenorhabditis elegans]
Chapaev__Chapaev-2_CE	Chapaev-2_CE	Chapaev	DNA/CMC-Chapaev	824	RepeatPeps	Chapaev-2_CE#DNA/CMC-Chapaev  Dfam:DF0001514 cds_range:1555-4027 [Caenorhabditis elegans]
EnSpm__EnSpm1_DR_tp	EnSpm1_DR_tp	EnSpm	DNA/CMC-EnSpm	1180	RepeatPeps	EnSpm1_DR_tp#DNA/CMC-EnSpm  Dfam:DF0003681 stops:1 cds_range:1987-5680 exons:1987-4645;4702-5261;5360-5680 via genewise with EnSpm-7_DR_tp [Danio rerio]
EnSpm__EnSpm-2_DR_p1	EnSpm-2_DR_p1	EnSpm	DNA/CMC-EnSpm	815	RepeatPeps	EnSpm-2_DR_p1#DNA/CMC-EnSpm  Dfam:DF0003911 cds_range:5073-7518 (may have more exons) [Danio rerio]
EnSpm__EnSpm-3_DR_tp	EnSpm-3_DR_tp	EnSpm	DNA/CMC-EnSpm	1214	RepeatPeps	EnSpm-3_DR_tp#DNA/CMC-EnSpm  Dfam:DF0002739 frameshifts:1 cds_range:2114-5851 exons:2114-4753;4846-5851 via genewise with EnSpm-7_DR_1p [Danio rerio]
EnSpm__EnSpm-5_DR_p1	EnSpm-5_DR_p1	EnSpm	DNA/CMC-EnSpm	810	RepeatPeps	EnSpm-5_DR_p1#DNA/CMC-EnSpm  Dfam:DF0003773 cds_range:4628-7058 (may have more exons) [Danio rerio]
EnSpm__EnSpm-7_DR_tp	EnSpm-7_DR_tp	EnSpm	DNA/CMC-EnSpm	1250	RepeatPeps	EnSpm-7_DR_tp#DNA/CMC-EnSpm  Dfam:DF0003172 frameshifts:1 cds_range:3156-7061 exons:3156-5864;6017-7061 via genewise with EnSpm-9_DR_1p [Danio rerio]
EnSpm__EnSpm-9_DR_tp	EnSpm-9_DR_tp	EnSpm	DNA/CMC-EnSpm	1250	RepeatPeps	EnSpm-9_DR_tp#DNA/CMC-EnSpm  Dfam:DF0002817 cds_range:1939-5924 exons:1939-4583;4818-5924 via genewise with EnSpm-7_DR_tp [Danio rerio]
EnSpm__EnSpm-12_DR_tp	EnSpm-12_DR_tp	EnSpm	DNA/CMC-EnSpm	1228	RepeatPeps	EnSpm-12_DR_tp#DNA/CMC-EnSpm  Dfam:DF0002847 cds_range:1251-4992 exons:1251-3923;3980-4992 via genewise with EnSpm1_DR_tp [Danio rerio]
EnSpm__EnSpm-13_DR_tp	EnSpm-13_DR_tp	EnSpm	DNA/CMC-EnSpm	1249	RepeatPeps	EnSpm-13_DR_tp#DNA/CMC-EnSpm  Dfam:DF0002632 cds_range:398-4454 exons:398-872;1031-3224;3374-4454 via genewise with EnSpm-7_DR_tp [Danio rerio]
