Dada-tA_DR_tp	Dada-tA_DR_tp
Dada-tA_DR_tp	Dada-1_DL_tp
Dada-tL_DR_tp	Dada-tL_DR_tp
Dada-tL_DR_tp	Dada-1_TN_tp
Dada-U1A_DR_tp	Dada-U1A_DR_tp
Dada-U1B_DR_tp	Dada-U1B_DR_tp
Dada-U6_DR_tp	Dada-U6_DR_tp
Dada-1_BF_tp	Dada-1_BF_tp
Dada-1_CGi_tp	Dada-1_CGi_tp
Dada-1_CI_tp	Dada-1_CI_tp
Dada-1_CSa_tp	Dada-1_CSa_tp
Dada-1_CV_tp	Dada-1_CV_tp
Dada-1_ES_tp	Dada-1_ES_tp
Dada-1_FR_tp	Dada-1_FR_tp
Dada-1_GM_tp	Dada-1_GM_tp
Dada-1_LB_tp	Dada-1_LB_tp
Dada-1_MB_tp	Dada-1_MB_tp
Dada-1_NV_tp	Dada-1_NV_tp
Dada-1_ON_tp	Dada-1_ON_tp
Dada-2_LB_tp	Dada-2_LB_tp
Dada-2_PMar_tp	Dada-2_PMar_tp
Dada-3_PMar_tp	Dada-3_PMar_tp
Dada-4_PMar_tp	Dada-4_PMar_tp
Dada-tA_OL_tp	Dada-tA_OL_tp
Dada-tG_PMar_tp	Dada-tG_PMar_tp
Dada-tIA_PMar_tp	Dada-tIA_PMar_tp
Dada-tIB_PMar_tp	Dada-tIB_PMar_tp
Dada-tL_PMar_tp	Dada-tL_PMar_tp
Dada-tY_PMar_tp	Dada-tY_PMar_tp
Dada-U6_CGi_tp	Dada-U6_CGi_tp
Dada-U6_CT_tp	Dada-U6_CT_tp
Dada-U6_DPu_tp	Dada-U6_DPu_tp
Dada-U6_SS_tp	Dada-U6_SS_tp
Dada-U6_SS_tp	Dada-U6_GA_tp
