tip_label	sequence_id	superfamily	cluster_size	length
Academ__Academ-6_CCri_2p	Academ-6_CCri_2p	Academ	2	346
Academ__UN-AcademH-6_PGr_p1	UN-AcademH-6_PGr_p1	Academ	2	919
Academ__Academ-11_CCri_2p	Academ-11_CCri_2p	Academ	1	342
Academ__Academ-1_AMi_tp	Academ-1_AMi_tp	Academ	1	1571
Academ__Academ-1_AP_tp	Academ-1_AP_tp	Academ	1	1471
Academ__Academ-1_CGi_tp	Academ-1_CGi_tp	Academ	1	1352
Academ__Academ-1_CSa_tp	Academ-1_CSa_tp	Academ	1	1534
Academ__Academ-1_CTe_tp	Academ-1_CTe_tp	Academ	1	1035
Academ__Academ-1_DPu_tp	Academ-1_DPu_tp	Academ	1	1367
Academ__Academ-1_GA_tp	Academ-1_GA_tp	Academ	1	1232
Academ__Academ-1_HM_tp	Academ-1_HM_tp	Academ	1	1459
Academ__Academ-1_NV_tp	Academ-1_NV_tp	Academ	1	1581
Academ__Academ-1_PGr_p1	Academ-1_PGr_p1	Academ	1	886
Academ__Academ-1_SP_tp	Academ-1_SP_tp	Academ	1	1522
Academ__Academ-1_Testu_tp	Academ-1_Testu_tp	Academ	1	1591
CMC-Chapaev__Chapaev3-1_SM	Chapaev3-1_SM	CMC-Chapaev	6	562
CMC-Chapaev__Chapaev-13_HM	Chapaev-13_HM	CMC-Chapaev	4	695
CMC-Chapaev__Chapaev3-3_AA	Chapaev3-3_AA	CMC-Chapaev	4	578
CMC-Chapaev__Chapaev-3A_HM	Chapaev-3A_HM	CMC-Chapaev	3	898
CMC-Chapaev__Chapaev-5_HMa	Chapaev-5_HMa	CMC-Chapaev	3	660
CMC-Chapaev__Chapaev3-1_HR	Chapaev3-1_HR	CMC-Chapaev	3	559
CMC-Chapaev__Chapaev3-1_PM	Chapaev3-1_PM	CMC-Chapaev	3	562
CMC-Chapaev__Chapaev3-3_HR	Chapaev3-3_HR	CMC-Chapaev	3	566
CMC-Chapaev__Chapaev-1_HM	Chapaev-1_HM	CMC-Chapaev	2	654
CMC-Chapaev__Chapaev3-2_AA	Chapaev3-2_AA	CMC-Chapaev	2	552
CMC-Chapaev__Chapaev-10_HM	Chapaev-10_HM	CMC-Chapaev	1	543
CMC-Chapaev__Chapaev-11_HM	Chapaev-11_HM	CMC-Chapaev	1	565
CMC-Chapaev__Chapaev-12_HM	Chapaev-12_HM	CMC-Chapaev	1	615
CMC-Chapaev__Chapaev-15_HM	Chapaev-15_HM	CMC-Chapaev	1	654
CMC-Chapaev__Chapaev-16_HM	Chapaev-16_HM	CMC-Chapaev	1	656
CMC-EnSpm__EnSpm12_SB_p1	EnSpm12_SB_p1	CMC-EnSpm	11	1150
CMC-EnSpm__EN1_ZM	EN1_ZM	CMC-EnSpm	6	1025
CMC-EnSpm__EnSpm-4_HV_p1	EnSpm-4_HV_p1	CMC-EnSpm	6	1158
CMC-EnSpm__EnSpm1_SB_p1	EnSpm1_SB_p1	CMC-EnSpm	6	1208
CMC-EnSpm__EnSpm-3_VV	EnSpm-3_VV	CMC-EnSpm	5	1078
CMC-EnSpm__EnSpm-41_SBi_1p	EnSpm-41_SBi_1p	CMC-EnSpm	4	856
CMC-EnSpm__EnSpm-4_PGr	EnSpm-4_PGr	CMC-EnSpm	4	806
CMC-EnSpm__EnSpm4_OS_p1	EnSpm4_OS_p1	CMC-EnSpm	4	1095
CMC-EnSpm__ATEnSpm12	ATEnSpm12	CMC-EnSpm	3	1718
